,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,Vake,€,Didube,Дигоми,Центр,Батуми,Кутаиси,desc_en
105,105,28-03-2020 19:36:54,Batumi,f8a875c191,METADON - BATUMI - 0.27 G,,нет,5,Батуми,0.27 гр,0.0333,17645,6470,585,227.0,,,,,,,True,,,METADON - BATUMI - 0.27 G
106,106,28-03-2020 19:36:54,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,13,Батуми,5 гр,0.0264,15547,5700,515,200.0,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
107,107,28-03-2020 19:36:54,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2932,155465,57000,5151,2000.0,,,,,,,,True,,SUBOXIN - HQ - 100 G.
108,108,28-03-2020 19:36:54,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,3,Батуми,150 гр,0.2199,116599,42750,3863,1500.0,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
109,109,28-03-2020 19:36:54,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0132,7773,2850,258,100.0,,,,,,,,True,,kur'er v Batumi
110,110,28-03-2020 19:36:54,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.033,19433,7125,644,250.0,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
111,111,28-03-2020 19:36:54,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.033,19433,7125,644,250.0,,,,,,,,True,,Ischu kur'era v Gruzii!
112,112,28-03-2020 19:36:54,Batumi,54915c4374,Работа на марки (курьер),,1,нет,Батуми,50 гр,0.0364,21435,7938,709,,,,,250.0,,,,True,,Rabota na marki (kur'er)
113,113,28-03-2020 19:36:54,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.1969,1165988,427500,38631,15000.0,,,,,,,,True,,Vakansija optovogo kur'era na mef
114,114,28-03-2020 19:36:54,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0726,38866,14250,1288,500.0,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
115,115,28-03-2020 19:38:20,Kutaisi,be97026d1d,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,5,нет,Кутаиси,1 гр,0.0274,14847,5444,492,191.0,,,,,,,,,True,Columbia Cocaine VHQ 1g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
116,116,28-03-2020 19:38:20,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,7,нет,Кутаиси,1.5 гр,0.0208,11271,4133,373,145.0,,,,,,,,,True,MDMA from Europe!!! 1.5g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
117,117,28-03-2020 19:38:20,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,9,нет,Кутаиси,2 гр,0.0524,28372,10403,940,365.0,,,,,,,,,True,Columbia Cocaine VHQ 2g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
118,118,28-03-2020 19:38:20,Kutaisi,54915c4374,Божественный эифорик!!! Марки нбооооом!!! 2 штуки!!!,,11,нет,Кутаиси,2 гр,0.0059,3498,1283,116,45.0,,,,,,,,,True,Bozhestvennyj eiforik!!! Marki nbooooom!!! 2 shtuki!!!
119,119,28-03-2020 19:38:20,Kutaisi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,4,нет,Кутаиси,2 гр,0.0194,10494,3848,348,135.0,,,,,,,,,True,GAShISh tverdyj!!! Hash!!!! 2.0 g !!BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
120,120,28-03-2020 19:38:20,Kutaisi,be97026d1d,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! КУТАИСИ!!!,,10,нет,Кутаиси,3 гр,0.0395,21376,7838,708,275.0,,,,,,,,,True,MDMA from Europe!!! 3g BTC SALE 5%!! !!!SALE!!! 3 Days to go!!! KUTAISI!!!
121,121,28-03-2020 19:38:20,Kutaisi,54915c4374,Работа на марки (курьер),,1,нет,Кутаиси,50 гр,0.0364,21435,7938,709,,,,,250.0,,,,,True,Rabota na marki (kur'er)
