,time_stamp,region,sell_code,sell_name,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
20,31-07-2020 10:49:34,Tbilisi,03F3,geoshop,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,,3,нет,Тбилиси,2 гр,0.0108,8804,3348,293,120,True,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
21,31-07-2020 10:49:34,Tbilisi,3Y9,HIGHTHC,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,3,нет,Тбилиси,2 гр,0.009,7336,2790,244,100,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
22,31-07-2020 10:49:34,Tbilisi,BB6E,WEEDSH0P,2gr Amnesia Haze Auto сжатая марихуана BUDS,,1,нет,Тбилиси,2 гр,0.0108,8804,3348,293,120,True,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
23,31-07-2020 10:49:34,Tbilisi,7LHWP,GEOBUDS,2gr HYBRID buds,,1,нет,Тбилиси,2 гр,0.0079,6456,2455,215,88,True,,,,,,,,,2gr HYBRID buds
24,31-07-2020 10:49:34,Tbilisi,BB6E,WEEDSH0P,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,,1,нет,Тбилиси,2 гр,0.0108,8804,3348,293,120,True,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
25,31-07-2020 10:49:34,Tbilisi,03F3,geoshop,5 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 2g,,1,нет,Тбилиси,2 гр,0.0179,14673,5580,488,200,True,,,,,,,,,5 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 2g
26,31-07-2020 10:49:34,Tbilisi,LGRP8,Walker12,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers,True,1,нет,Тбилиси,3 гр,0.0108,8804,3348,293,120,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers
27,31-07-2020 10:49:34,Tbilisi,R4156,bestchoice,Northern Lights Regular [budsonly] 3gramm,,2,нет,Тбилиси,3 гр,0.0073,6603,2511,219,90,True,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
28,31-07-2020 10:49:34,Tbilisi,6P9R,RickNMorty,VHQ Methadon 1G max 12 Hours for adrss,,нет,1,Тбилиси,1 гр,0.0896,73363,27900,2439,1000,True,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
29,31-07-2020 10:49:34,Tbilisi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,3,Тбилиси,1 гр,0.033,26739,10246,888,,True,,310,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
30,31-07-2020 10:49:34,Tbilisi,03F3,geoshop,10 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,5,Тбилиси,4 гр,0.0358,29345,11160,975,400,True,,,,,,,,,10 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
31,31-07-2020 10:49:34,Tbilisi,18FB,Mr.Green Tbilis,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,,нет,10,Тбилиси,5 гр,0.0224,18341,6975,610,250,True,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
32,31-07-2020 10:49:34,Tbilisi,BB6E,WEEDSH0P,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,6,Тбилиси,5 гр,0.0242,19808,7533,658,270,True,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
33,31-07-2020 10:49:34,Tbilisi,SF03,CRAZYFROG,5 gr top buds white widow wишки THC 25% VHQ,,нет,6,Тбилиси,5 гр,0.0246,20175,7673,671,275,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
34,31-07-2020 10:49:34,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0215,17607,6696,585,240,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
35,31-07-2020 10:50:28,Tbilisi,BB6E,WEEDSH0P,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0215,17607,6696,585,240,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
36,31-07-2020 10:50:28,Tbilisi,SF03,CRAZYFROG,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,6,Тбилиси,5 гр,0.0251,20542,7812,683,280,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
37,31-07-2020 10:50:28,Tbilisi,BB6E,WEEDSH0P,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0242,19808,7533,658,270,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
38,31-07-2020 10:50:28,Tbilisi,A3SS3,Parrots,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.0178,16067,6110,534,219,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
39,31-07-2020 10:50:28,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",,нет,2,Тбилиси,5 гр,0.0211,17240,6557,573,235,True,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
40,31-07-2020 10:50:28,Tbilisi,XUYA,MRweed,"Gorilla Breath - photoperiod, feminised 5гр",,нет,2,Тбилиси,5 гр,0.0196,17607,6696,585,240,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
41,31-07-2020 10:50:28,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 5гр",,нет,1,Тбилиси,5 гр,0.0196,17607,6696,585,240,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
42,31-07-2020 10:50:28,Tbilisi,X4ZM,ZYX,NEW ! Silver Haze NEW ! HQ BUDS 5G,,нет,3,Тбилиси,5 гр,0.0211,17240,6557,573,235,True,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
43,31-07-2020 10:50:28,Tbilisi,BB6E,WEEDSH0P,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,3,Тбилиси,5 гр,0.0242,19808,7533,658,270,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
44,31-07-2020 10:50:28,Tbilisi,6UG,Good Enuff,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.211,190000,87429,6313,,True,,,,,,,,,reagent 25i nbome. 5gr
45,31-07-2020 10:50:28,Tbilisi,6UG,Good Enuff,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2444,220090,83700,7316,3000,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
46,31-07-2020 10:50:28,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️,,нет,1,Тбилиси,5 гр,0.0213,17251,6610,573,,True,,200,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 5pc🌈🌈🌈🧞‍♀️
47,31-07-2020 10:50:28,Tbilisi,SF03,CRAZYFROG,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0493,40350,15345,1341,550,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
48,31-07-2020 10:50:28,Tbilisi,JVZTQ,partyshop,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0627,51354,19530,1707,700,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
49,31-07-2020 10:50:28,Tbilisi,BB6E,WEEDSH0P,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0376,30813,11718,1024,420,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
50,31-07-2020 10:50:28,Tbilisi,SF03,CRAZYFROG,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0717,58691,22320,1951,800,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,31-07-2020 10:50:28,Tbilisi,A3I9,Joookerrr,"Extazzy ""Gucci"" для стильных людей (10 грамм)",,нет,8,Тбилиси,10 гр,0.0376,30813,11718,1024,420,True,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
52,31-07-2020 10:50:28,Tbilisi,1HAB,atpablo,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.1994,163233,62078,5426,2225,True,,,,,,,,,Amfetamin [White] [Import] 10G
53,31-07-2020 10:50:28,Tbilisi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0468,37951,14542,1261,,True,,440,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
54,31-07-2020 10:50:28,Tbilisi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0415,33639,12890,1118,,True,,390,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
55,31-07-2020 10:50:28,Tbilisi,XUYA,MRweed,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.053,47686,18135,1585,650,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
56,31-07-2020 10:50:28,Tbilisi,SF03,CRAZYFROG,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2151,176072,66960,5853,2400,True,,,,,,,,,100 gr marijuana buds
57,31-07-2020 10:50:28,Tbilisi,OX85,amnesia420,"Weed cooking butter 100gr, Hight THC",,нет,2,Тбилиси,100 гр,0.0134,11005,4185,366,150,True,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
58,31-07-2020 10:50:28,Tbilisi,1HAB,atpablo,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.224,183408,69750,6097,2500,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
59,31-07-2020 10:50:28,Tbilisi,3Y9,HIGHTHC,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5287,432843,164610,14388,5900,True,,,,,,,,,180 gr marihuana persoalno
60,31-07-2020 10:50:28,Tbilisi,6UG,Good Enuff,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,3,Тбилиси,500 гр,0.0896,73363,27900,2439,1000,,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
61,31-07-2020 10:50:28,Tbilisi,6UG,Good Enuff,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.7617,623588,237150,20728,8500,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
62,31-07-2020 10:50:28,Tbilisi,NE1F8,Jakfresko,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0163,14673,5580,488,200,True,,,,,,,,,KURYER..500RUB.+BONUS
63,31-07-2020 10:50:28,Tbilisi,9R7SU,ClownBaroN,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0224,18341,6975,610,250,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
64,31-07-2020 10:50:28,Tbilisi,7R3WM,RastaShop,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0224,18341,6975,610,250,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
65,31-07-2020 10:50:28,Tbilisi,7U9YP,ChitosPizz,Курьер Фасовщик залог обязательно 600$ 5гр,,1,нет,Тбилиси,5 гр,0.0489,44018,16740,1463,600,True,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
66,31-07-2020 10:50:28,Tbilisi,SF03,CRAZYFROG,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0179,14673,5580,488,200,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,31-07-2020 10:50:28,Tbilisi,A3I9,Joookerrr,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0224,18341,6975,610,250,True,,,,,,,,,Rabota na marki (kur'er)
68,31-07-2020 10:51:24,Tbilisi,9CK,Hyperboy,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,,нет,1,Тбилиси,10 гр,0.0448,36682,13950,1219,500,True,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
69,31-07-2020 10:51:24,Tbilisi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.3567,1100450,418500,36579,15000,True,,,,,,,,,Vakansija optovogo kur'era na mef
70,31-07-2020 10:51:24,Tbilisi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0448,36682,13950,1219,500,,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
71,31-07-2020 10:53:31,Batumi,6KB,Marioshop,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️",,8,нет,Батуми,0.2 гр,0.0126,10264,3933,341,,,,119,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️"
72,31-07-2020 10:53:31,Batumi,6KB,Marioshop,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2шт (0.4мг)!💉⭕⚜,,4,нет,Батуми,0.4 гр,0.0095,7677,2941,255,,,,89,,,,,True,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2sht (0.4mg)!💉⭕⚜
73,31-07-2020 10:53:31,Batumi,6KB,Marioshop,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,9,нет,Батуми,0.4 гр,0.0243,19752,7568,656,,,,229,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
74,31-07-2020 10:53:31,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,12,нет,Батуми,0.5 гр,0.0037,3019,1157,100,,,,35,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
75,31-07-2020 10:53:31,Batumi,GGVQZ,KARAVANos,Мелкие шишки (Indica) 2г,,9,нет,Батуми,2 гр,0.003,2421,921,80,33,,,,,,,,,True,Melkie shishki (Indica) 2g
76,31-07-2020 10:53:31,Batumi,Z9UT,Rainbow,Super Critical 10G,,1,нет,Батуми,10 гр,0.0403,33013,12555,1097,450,,,,,,,,True,,Super Critical 10G
77,31-07-2020 10:53:31,Batumi,6KB,Marioshop,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0467,37951,14542,1261,,,,440,,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
78,31-07-2020 10:53:31,Batumi,XH0NP,XX-PABLO-XX,METADON - 0.30 - SALE,,нет,5,Батуми,0.3 гр,0.0271,22009,8370,732,300,,,,,,,,,True,METADON - 0.30 - SALE
79,31-07-2020 10:53:31,Batumi,6KB,Marioshop,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0329,26739,10246,888,,,,310,,,,,,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
80,31-07-2020 10:53:31,Batumi,6KB,Marioshop,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0414,33639,12890,1118,,,,390,,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
81,31-07-2020 10:53:31,Batumi,6KB,Marioshop,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0424,34415,13187,1144,,,,399,,,,,,True,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
82,31-07-2020 10:53:31,Batumi,42AF,Leningrad6,курьер в Батуми,,1,нет,Батуми,1 гр,0.0081,7336,2790,244,100,,,,,,,,,True,kur'er v Batumi
83,31-07-2020 10:53:31,Batumi,XHR,420Factory,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0203,18341,6975,610,250,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
84,31-07-2020 10:53:31,Batumi,F8K,BestAcid,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0203,18341,6975,610,250,,,,,,,,,True,Ischu kur'era v Gruzii!
85,31-07-2020 10:53:31,Batumi,GGVQZ,KARAVANos,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0179,14673,5580,488,200,,,,,,,,,True,Kur'er Batumi na marihuanu
86,31-07-2020 10:53:31,Batumi,A08BZ,Subway,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3546,1100450,418500,36579,15000,,,,,,,,,True,Vakansija optovogo kur'era na mef
87,31-07-2020 10:53:31,Batumi,6UG,Good Enuff,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0447,36682,13950,1219,500,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
