,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Didube,Saburtalo,Gldani,Дигоми,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
21,21,01-08-2020 10:32:38,Tbilisi,22610cd7c4,Amsterdam weed sativa 1гр,True,16,нет,Тбилиси,1 гр,0.0039,3378,1282,112,46.0,,,,,,,,,,,,Amsterdam weed sativa 1gr
22,22,01-08-2020 10:32:38,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,21,нет,Тбилиси,1 гр,0.0034,3000,1380,99,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
23,23,01-08-2020 10:32:38,Tbilisi,d04eeb6525,Hybrid Bomba 1 г. TOP BUDS,True,1,нет,Тбилиси,1 гр,0.0042,4038,1532,134,55.0,,,,,,,,,,,,Hybrid Bomba 1 g. TOP BUDS
24,24,01-08-2020 10:32:38,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0049,4259,1616,141,58.0,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
25,25,01-08-2020 10:32:38,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,2,нет,Тбилиси,1 гр,0.0042,3671,1393,122,50.0,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
26,26,01-08-2020 10:32:38,Tbilisi,67187efef3,АКЦИЯ! 1g hindu kish best buds BTC 5% sale,True,2,нет,Тбилиси,1 гр,0.0037,3304,1254,110,45.0,,,,,,,,,,,,AKTsIJa! 1g hindu kish best buds BTC 5% sale
27,27,01-08-2020 10:32:38,Tbilisi,7c395c455d,2 gr Amnesia Haze шишки импорт с европы тгк 28%,True,3,нет,Тбилиси,2 гр,0.0102,8811,3343,293,120.0,,,,,,,,,,,,2 gr Amnesia Haze shishki import s evropy tgk 28%
28,28,01-08-2020 10:32:38,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,3,нет,Тбилиси,2 гр,0.0102,8811,3343,293,120.0,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
29,29,01-08-2020 10:32:38,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,,2,нет,Тбилиси,2 гр,0.0085,7343,2786,244,100.0,,True,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
30,30,01-08-2020 10:32:38,Tbilisi,bb1791277e,2gr Amnesia Haze Auto сжатая марихуана BUDS,True,1,нет,Тбилиси,2 гр,0.0102,8811,3343,293,120.0,,,,,,,,,,,,2gr Amnesia Haze Auto szhataja marihuana BUDS
31,31,01-08-2020 10:32:38,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,1,нет,Тбилиси,2 гр,0.0075,6462,2452,215,88.0,,,,,,,,,,,,2gr HYBRID buds
32,32,01-08-2020 10:32:38,Tbilisi,bb1791277e,2gr LSD-25 marijuana BUDS thc 22% шишки топ!!! при пакупке бтк скидка 1%,True,1,нет,Тбилиси,2 гр,0.0102,8811,3343,293,120.0,,,,,,,,,,,,2gr LSD-25 marijuana BUDS thc 22% shishki top!!! pri pakupke btk skidka 1%
33,33,01-08-2020 10:32:38,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0085,8077,3065,268,110.0,,,,True,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
34,34,01-08-2020 10:32:38,Tbilisi,ae784bef73,Maserati (ecstasy) 2шт,True,1,нет,Тбилиси,2 гр,0.0085,7343,2786,244,100.0,,,,,,,,,,,,Maserati (ecstasy) 2sht
35,35,01-08-2020 10:32:38,Tbilisi,83f3d55917,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers,,1,нет,Тбилиси,3 гр,0.0102,8811,3343,293,120.0,,True,,,,,,,,,,!!! NEW !!! 3G Jack Herer(VHQ 24%THC) Special Offer !! Special Prices for Our Costumers
36,36,01-08-2020 10:33:52,Tbilisi,c47f675e02,3 gram + skunk auto шишки,True,1,нет,Тбилиси,3 гр,0.011000000000000001,9913,3761,329,135.0,,,,,,,,,,,,3 gram + skunk auto shishki
37,37,01-08-2020 10:33:52,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,2,нет,Тбилиси,3 гр,0.0069,6608,2507,219,90.0,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
38,38,01-08-2020 10:33:52,Tbilisi,c47f675e02,Super Skunk auto 10gram,True,1,нет,Тбилиси,10 гр,0.0304,27461,10420,912,374.0,,,,,,,,,,,,Super Skunk auto 10gram
39,39,01-08-2020 10:33:52,Tbilisi,52fe6d0af9,VHQ Methadon 1G max 12 Hours for adrss,True,нет,1,Тбилиси,1 гр,0.0847,73426,27860,2438,1000.0,,,,,,,,,,,,VHQ Methadon 1G max 12 Hours for adrss
40,40,01-08-2020 10:33:52,Tbilisi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",True,нет,3,Тбилиси,1 гр,0.0316,27060,10233,899,,,,,,310.0,,,,,,,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
41,41,01-08-2020 10:33:52,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (3 грамма)",True,нет,20,Тбилиси,3 гр,0.0102,8811,3343,293,120.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (3 gramma)"
42,42,01-08-2020 10:33:52,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0212,18357,6965,609,250.0,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
43,43,01-08-2020 10:33:52,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0229,19825,7522,658,270.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
44,44,01-08-2020 10:33:52,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0233,20192,7662,670,275.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
45,45,01-08-2020 10:33:52,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0203,17622,6686,585,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
46,46,01-08-2020 10:33:52,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0237,20559,7801,683,280.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
47,47,01-08-2020 10:33:52,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0229,19825,7522,658,270.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
48,48,01-08-2020 10:33:52,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0169,16080,6101,534,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
49,49,01-08-2020 10:33:52,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,нет,2,Тбилиси,5 гр,0.0185,17622,6686,585,240.0,,,,,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
50,50,01-08-2020 10:33:52,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 5гр",True,нет,1,Тбилиси,5 гр,0.0185,17622,6686,585,240.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 5gr"
51,51,01-08-2020 10:33:52,Tbilisi,ae784bef73,NEW ! Silver Haze NEW ! HQ BUDS 5G,True,нет,3,Тбилиси,5 гр,0.0199,17255,6547,573,235.0,,,,,,,,,,,,NEW ! Silver Haze NEW ! HQ BUDS 5G
52,52,01-08-2020 10:33:52,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0229,19825,7522,658,270.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
53,53,01-08-2020 10:33:52,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2001,190000,87429,6300,,,,,,,,,,,,,reagent 25i nbome. 5gr
54,54,01-08-2020 10:33:52,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2311,220278,83580,7313,3000.0,,,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
55,55,01-08-2020 10:33:52,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0466,40384,15323,1341,550.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
56,56,01-08-2020 10:33:52,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0593,51398,19502,1706,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
57,57,01-08-2020 10:33:52,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0356,30839,11701,1024,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
58,58,01-08-2020 10:33:52,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0678,58741,22288,1950,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,59,01-08-2020 10:33:52,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,5,Тбилиси,10 гр,0.0356,30839,11701,1024,420.0,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
60,60,01-08-2020 10:33:52,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.1885,163373,61989,5423,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
61,61,01-08-2020 10:33:52,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,True,нет,5,Тбилиси,10 гр,0.0449,38407,14524,1276,,,,,,440.0,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
62,62,01-08-2020 10:33:52,Tbilisi,ccc85b93d8,🍬🍬🍬Ex Masserati Red 465 mg 11pc🍬🍬🍬,True,нет,1,Тбилиси,11 гр,0.0491,42587,16159,1414,580.0,,,,,,,,,,,,🍬🍬🍬Ex Masserati Red 465 mg 11pc🍬🍬🍬
63,63,01-08-2020 10:33:52,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0398,34043,12874,1131,,,,,,390.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
64,64,01-08-2020 10:33:52,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0501,47727,18109,1584,650.0,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
65,65,01-08-2020 10:33:52,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2033,176223,66864,5850,2400.0,,,,,,,,,,,,100 gr marijuana buds
66,66,01-08-2020 10:33:52,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2118,183565,69650,6094,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
67,67,01-08-2020 10:33:52,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.4999,433214,164374,14381,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
68,68,01-08-2020 10:33:52,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,5,Тбилиси,250 гр,0.0209,18000,8283,597,,True,,,,,,,,,,,GABAGAMA 250 shtuk
69,69,01-08-2020 10:33:52,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,,нет,3,Тбилиси,500 гр,0.0847,73426,27860,2438,1000.0,,True,,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
70,70,01-08-2020 10:34:59,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7247,624122,236810,20719,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,71,01-08-2020 10:34:59,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0155,14685,5572,488,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
72,72,01-08-2020 10:34:59,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0213,18357,6965,609,250.0,,True,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
73,73,01-08-2020 10:34:59,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0213,18357,6965,609,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,01-08-2020 10:34:59,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0465,44056,16716,1463,600.0,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
75,75,01-08-2020 10:34:59,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0171,14685,5572,488,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
76,76,01-08-2020 10:34:59,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0213,18357,6965,609,250.0,,,,,,,,,,,,Rabota na marki (kur'er)
77,77,01-08-2020 10:34:59,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0426,36713,13930,1219,500.0,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
78,78,01-08-2020 10:34:59,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0426,36713,13930,1219,500.0,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
79,79,01-08-2020 10:34:59,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.2906,1101392,417900,36563,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
80,80,01-08-2020 10:34:59,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0426,36713,13930,1219,500.0,,,,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
81,81,01-08-2020 10:36:56,Batumi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2шт (0.4мг)!💉⭕⚜,,2,нет,Батуми,0.4 гр,0.009000000000000001,7769,2938,258,,,,,,89.0,,,,,True,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2sht (0.4mg)!💉⭕⚜
82,82,01-08-2020 10:36:56,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,8,нет,Батуми,0.4 гр,0.0233,19989,7559,664,,,,,,229.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
83,83,01-08-2020 10:36:56,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,11,нет,Батуми,0.5 гр,0.0036,3055,1155,101,,,,,,35.0,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
84,84,01-08-2020 10:36:56,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,7,нет,Батуми,2 гр,0.0028,2423,919,80,33.0,,,,,,,,,,,True,Melkie shishki (Indica) 2g
85,85,01-08-2020 10:36:56,Batumi,3c4662c591,Super Critical 10G,,1,нет,Батуми,10 гр,0.0381,33042,12537,1097,450.0,,,,,,,,,,True,,Super Critical 10G
86,86,01-08-2020 10:36:56,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0447,38407,14524,1276,,,,,,440.0,,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
87,87,01-08-2020 10:36:56,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,5,Батуми,0.3 гр,0.0256,22028,8358,731,300.0,,,,,,,,,,,True,METADON - 0.30 - SALE
88,88,01-08-2020 10:36:56,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.0315,27060,10233,899,,,,,,310.0,,,,,,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
89,89,01-08-2020 10:36:56,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0396,34043,12874,1131,,,,,,390.0,,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
90,90,01-08-2020 10:36:56,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0405,34828,13171,1157,,,,,,399.0,,,,,,True,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
91,91,01-08-2020 10:36:56,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0077,7343,2786,244,100.0,,,,,,,,,,,True,kur'er v Batumi
92,92,01-08-2020 10:36:56,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0192,18357,6965,609,250.0,,,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
93,93,01-08-2020 10:36:56,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0192,18357,6965,609,250.0,,,,,,,,,,,True,Ischu kur'era v Gruzii!
94,94,01-08-2020 10:36:56,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0169,14685,5572,488,200.0,,,,,,,,,,,True,Kur'er Batumi na marihuanu
95,95,01-08-2020 10:36:56,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.2813,1101392,417900,36563,15000.0,,,,,,,,,,,True,Vakansija optovogo kur'era na mef
96,96,01-08-2020 10:36:56,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0423,36713,13930,1219,500.0,,,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
